ID,Sex,JulianDay,Easting,Northing
380,F,100,614817.0952,5261825.229
381,F,100,607518.8356,5265567.557
382,M,100,612160.323,5262705.338
384,F,100,610806.717,5260715.118
385,F,100,607071.2292,5257312.725
386,F,100,603892.9968,5253124.541
387,F,100,606625.4505,5245398.487
389,F,100,611911.8025,5240653.019
390,F,100,601842.766,5245222.576
392,M,100,608086.8975,5226670.309
393,F,100,609408.5804,5217924.835
209,F,101,607121.9203,5227100.749
334,M,101,614819.3419,5263399.521
362,F,101,655934.0631,5281478.885
374,M,101,650578.7571,5282030.591
375,F,101,651203.6007,5275726.873
376,F,101,603342.5487,5253964.133
377,F,101,642949.6419,5266382.422
379,M,101,633920.8849,5269871.183
380,F,101,614502.3235,5262086.994
381,F,101,607638.7253,5265925.513
382,M,101,613087.9779,5262218.466
384,F,101,610661.906,5260961.405
385,F,101,606645.419,5257138.206
386,F,101,603367.6278,5253525.467
387,F,101,607109.508,5245201.623
389,F,101,612063.6081,5240741.505
390,F,101,601860.7181,5245232.891
392,M,101,608075.9196,5225528.451
393,F,101,609862.1868,5217529.693
209,F,102,611242.7594,5227030.066
334,M,102,614154.4371,5263892.353
362,F,102,656976.7015,5284179.401
374,M,102,651474.6483,5282123.922
375,F,102,650334.7186,5275480.865
376,F,102,603594.6599,5253185.966
377,F,102,642908.544,5266184.596
378,F,102,633055.7533,5270123.814
380,F,102,614527.1752,5262087.48
381,F,102,607303.6517,5266503
384,F,102,609796.998,5260876.19
385,F,102,607301.6488,5257163.526
386,F,102,603589.4785,5253180.316
387,F,102,608390.6418,5245088.354
389,F,102,611794.315,5240867.568
390,F,102,602744.4643,5246451.064
393,F,102,609572.3868,5217850.044
209,F,103,611817.9051,5228476.076
334,M,103,611955.5949,5264113.325
362,F,103,656685.4893,5284397.306
374,M,103,651746.7247,5281742.897
375,F,103,650302.7788,5276019.391
376,F,103,603905.0458,5252614.499
377,F,103,642987.5715,5266463.412
378,F,103,633864.1698,5269883.225
380,F,103,614555.8926,5262121.395
381,F,103,608577.3248,5266380.895
382,M,103,612566.935,5262478.571
384,F,103,609878.7034,5260898.846
385,F,103,607915.7598,5257305.984
386,F,103,603990.7518,5252589.337
387,F,103,608731.0301,5244616.613
389,F,103,613357.7314,5239696.808
390,F,103,602979.1102,5246724.189
392,M,103,609025.8215,5225275.742
393,F,103,609811.5082,5217602.123
209,F,104,611824.6796,5228478.428
334,M,104,612067.4308,5264172.166
362,F,104,656619.0398,5284355.477
376,F,104,604075.7366,5252349.612
377,F,104,642950.3858,5266413.576
378,F,104,634145.5767,5269917.483
379,M,104,634167.337,5269920.207
380,F,104,614101.1824,5262877.395
381,F,104,608991.3255,5265938.354
384,F,104,610056.1678,5260757.656
385,F,104,606780.9563,5258057.822
386,F,104,604019.5663,5252538.711
387,F,104,610215.7233,5244052.82
389,F,104,614736.7372,5239949.177
390,F,104,602985.9886,5246460.848
