ID,Sex,Used,JulianDay,Easting,Northing,elevation,shrub,pfg,afg,tree
334,M,1,139,612339.355,5263071.201,668,0,40,0,0
334,M,1,140,613084.0468,5262421.839,692,0,28,0,0
334,M,1,141,612526.1277,5261858.546,710,0,42,2,0
334,M,1,142,612412.0457,5261875.253,727,0,26,0,0
334,M,1,143,612460.0307,5261887.293,704,0,39,0,0
334,M,1,144,611812.3727,5263135.59,701,0,31,0,0
334,M,1,145,612314.7331,5263137.432,712,0,63,2,0
334,M,1,146,612450.7882,5263543.609,717,0,12,2,0
334,M,1,148,611157.5297,5263428.835,778,17,59,2,17
334,M,1,149,611916.6138,5263001.951,717,5,22,5,5
334,M,1,150,612930.0975,5262670.119,723,2,71,1,2
334,M,1,151,614049.756,5263544.555,656,3,31,6,3
334,M,1,152,614157.2967,5263900.191,693,0,0,0,0
334,M,1,153,613146.677,5264479.782,615,1,64,2,1
334,M,1,154,611149.3897,5263896.72,756,0,21,2,0
334,M,1,155,610831.8365,5262611.09,760,2,32,3,2
334,M,1,156,611350.5278,5263221.276,768,2,67,4,2
334,M,1,157,612903.0086,5262278.263,685,11,15,5,11
334,M,1,158,613327.9722,5261340.384,719,1,38,4,1
334,M,1,159,614701.1585,5260628.933,701,1,50,5,1
334,M,1,160,613873.6849,5261290.943,688,0,2,3,0
334,M,1,162,612036.8307,5263332.216,691,0,40,1,0
334,M,1,163,611131.1402,5263747.401,764,0,26,2,0
334,M,1,165,611963.0922,5263249.647,662,5,25,3,5
334,M,1,166,614162.4247,5263058.694,704,0,25,3,0
334,M,1,167,613986.4549,5263005.233,664,0,55,2,0
334,M,1,168,613025.8898,5262390.698,716,0,32,0,0
334,M,1,169,614046.9023,5262570.605,674,0,51,3,0
334,M,1,170,614256.5134,5264180.068,707,0,31,0,0
334,M,1,171,613964.1874,5263684.08,690,0,36,2,0
334,M,1,172,611185.0201,5263488.279,782,10,68,2,10
334,M,1,173,610713.1824,5264581.054,653,7,32,5,7
334,M,1,174,610931.6638,5264615.212,649,0,79,2,0
334,M,1,175,611125.4528,5263967.416,738,5,21,6,5
334,M,1,176,612520.6718,5264452.136,650,0,33,0,0
334,M,1,177,611375.5192,5264598.081,667,1,24,5,1
334,M,1,178,610101.1455,5263532.254,653,14,41,6,14
334,M,1,179,610564.6946,5263991.25,725,0,8,1,0
334,M,1,180,610962.4465,5263548.532,750,3,29,4,3
334,M,1,181,611673.2418,5263755.504,755,0,30,1,0
334,M,0,91,611139.0662,5256047.483,734,9,34,0,9
334,M,0,92,651647.4644,5267569.692,732,3,75,19,3
334,M,0,93,620054.546,5266019.09,672,31,34,6,31
334,M,0,94,604760.6928,5241519.356,708,27,32,5,27
334,M,0,95,639469.4097,5267572.577,650,0,40,2,0
334,M,0,96,610039.2996,5226720.693,725,0,70,0,0
334,M,0,97,634542.4801,5263692.631,804,0,86,2,0
334,M,0,98,614659.0177,5261374.717,653,0,39,1,0
334,M,0,99,607663.7571,5240228.826,702,3,65,5,3
334,M,0,100,634657.1964,5266974.255,715,19,48,8,19
334,M,0,101,619369.9523,5263504.069,706,5,30,8,5
334,M,0,102,614452.7842,5245104.186,726,16,17,3,16
334,M,0,103,611944.5863,5267258.185,648,6,44,3,6
334,M,0,104,608931.1525,5219981.017,675,3,1,2,3
334,M,0,105,618350.0681,5256199.674,782,0,87,3,0
