Created Date,Name,Species,Primary Breed,Sex,Age (Months),Age Group,Primary Color,Days in Custody,Days on Site,Current Weight,Attributes
04/12/2021,Rocky,Cat,Domestic Shorthair,Male,52,Young adult (1-5 years),Brown,31,31,22 lbs,No Dog Home
02/20/2020,CoCo,Cat,Domestic Longhair,Male,50,Young adult (1-5 years),Grey,1,1,,
01/20/2020,Bambi,Dog,"Terrier, American Pit Bull",Female,50,Adult Dog (5 months-8 years),Brown,1,1,,
03/18/2020,Dinah,Cat,Domestic Shorthair,Female,53,Young adult (1-5 years),White,1,1,8.4 lbs,
07/17/2020,Lady,Dog,"Chihuahua, Short Coat",Female,81,Adult Dog (5 months-8 years),Black,5,5,13.28 lbs,"D2D Required,Dental Disease - Moderate,Kids under 6 meet first,No kids under 10"
01/29/2020,Delta,Dog,"Chihuahua, Short Coat",Female,63,Adult Dog (5 months-8 years),Brown,1,1,,
02/24/2020,Pretty,Cat,Ragdoll,Female,93,Adult Cat (5-10 years),Black,1,1,,
02/05/2020,Duelle,Dog,Terrier,Male,105,Senior (8+years),Black,1,1,,
03/14/2020,Vegas,Dog,"Terrier, American Pit Bull",Male,46,Adult Dog (5 months-8 years),Brindle,1,1,,
03/04/2020,BARCODE,Cat,Domestic Shorthair,Male,140,Senior (10+years),Orange,1,1,23.7 lbs,
03/04/2020,BARCODE,Cat,Domestic Shorthair,Male,140,Senior (10+years),Orange,1,1,23.7 lbs,
03/04/2020,BARCODE,Cat,Domestic Shorthair,Male,140,Senior (10+years),Orange,1,1,23.7 lbs,
03/04/2020,BARCODE,Cat,Domestic Shorthair,Male,140,Senior (10+years),Orange,1,1,23.7 lbs,
03/04/2020,BARCODE,Cat,Domestic Shorthair,Male,140,Senior (10+years),Orange,1,1,23.7 lbs,
03/14/2020,Ode,Dog,Terrier,Male,56,Adult Dog (5 months-8 years),Black,1,1,,
03/14/2020,Ode,Dog,Terrier,Male,56,Adult Dog (5 months-8 years),Black,1,1,,
03/14/2020,Peludo,Dog,Terrier,Male,72,Adult Dog (5 months-8 years),Black,1,1,,
03/14/2020,Peludo,Dog,Terrier,Male,72,Adult Dog (5 months-8 years),Black,1,1,,
02/22/2020,Precious,Dog,"Terrier, Jack Russell",Female,67,Adult Dog (5 months-8 years),White,1,1,,
02/19/2020,Temario,Dog,Keeshond,Male,47,Adult Dog (5 months-8 years),Apricot,1,1,,
03/02/2020,Peper,Dog,Shih Tzu,Male,187,Senior (8+years),Cream,1,1,,
01/30/2020,Kumba,Dog,"Terrier, American Pit Bull",Male,91,Adult Dog (5 months-8 years),Black,1,1,,
03/16/2020,Maggie,Dog,"Collie, Border",Female,85,Adult Dog (5 months-8 years),White,1,1,,
