DOY,ET,wind_speed,Rs,Rs_reflected,Rn,RH,air_temp
289,2.452,11.172,65.013,-0.494,17.319,65.013,9.506
290,2.06299,7.215,88.199,-7.207,2.499,88.199,2.793
291,2.8601,5.3573,67.669,-3.275,18.857,67.669,6.725
292,2.5048,3.907,66.053,-2.169,14.883,66.053,7.831
293,2.9459,4.242,65.73,0.194,18.02561,65.73,10.194
294,5.21757,3.02,41.708,4.874,22.38079,41.708,14.874
295,5.50886,2.878,32.963,5.301,22.59221,32.963,15.301
296,3.72499,6.436,49.463,2.862,19.85998,49.463,12.862
297,5.27,6.414,51.748,3.32,20.35965,51.748,13.32
298,4.50527,4.009,41.882,4.609,21.29879,41.882,14.609
299,4.77434,4.291,49.84684,6.36258,20.91982,50.45541,16.91
