LizDens,Dist
0,90
0,79
2,38
0,22
0,0
0,46
0,94
0,78
0,90
0,96
1,100
1,86
0,88
0,95
0,11
0,32
0,62
0,19
0,71
0,99
0,86
0,74
0,90
0,95
0,60
0,37
1,27
0,39
0,76
2,11
0,15
0,43
0,30
3,0
0,35
0,22
0,51
0,64
0,28
1,37
0,62
0,88
2,54
2,43
0,8
2,46
0,73
2,51
0,46
1,32
1,27
3,47
0,42
0,30
