ID,LMT_Date,LMT_Time,DOP,elevation,slope,sin_aspect,cos_aspect,VRM21,dist2drainage,dist2spring,veg_class,used
20015,4/20/2016,4:01,6.2,1888.24,49.5932,0.138717,0.491875,0.145189,63.6003,3062.03,Shrubland,1
20015,4/20/2016,8:00,5,1897.43,62.6607,0.410243,0.192419,0.139958,98.6154,3097.94,Shrubland,1
20015,4/20/2016,12:00,8.6,1862.44,52.1832,0.225833,0.367018,0.189226,80,3098.43,Herbaceous-Shrub Steppe,1
20015,4/20/2016,16:00,1.6,1904.35,57.4813,0.153126,0.468207,0.133912,85.276,3083.74,Shrubland,1
20015,4/21/2016,4:01,4.4,1834.29,78.5072,1.83047,1.55707,0.236125,48.2597,3105.06,Shrubland,1
20015,4/21/2016,8:00,5.8,1848.42,84.1346,0.759396,0.0293767,0.184659,65,3124.79,Open Tree Canopy,1
20015,4/21/2016,12:00,3.2,1839.14,73.2695,0.629145,0.0713091,0.205154,61,3125.65,Shrubland,1
20015,4/21/2016,16:00,4.8,1839.14,73.2695,0.629145,0.0713091,0.205154,61,3127.43,Shrubland,1
20015,4/25/2016,0:00,4.4,1833.71,96.5766,0.115667,0.533143,0.239841,34.0588,3065.75,Shrubland,1
20015,4/26/2016,16:00,2.2,1849.09,40.7271,0.128821,1.49097,0.189267,76,3075.06,Shrubland,1
20015,4/27/2016,4:00,2.8,1815.36,172.864,0.158498,1.54025,0.234138,32,3106.35,Shrubland,1
20015,4/27/2016,8:00,2.2,1830.73,95.9878,0.0552991,1.32793,0.238373,35.9026,3060.86,Shrubland,1
20015,4/27/2016,12:00,3.2,1838.2,80.4549,0.231885,1.64031,0.235181,41,3086.75,Shrubland,1
20015,4/27/2016,16:00,4.6,1898.5,50.4375,0.106295,0.551344,0.138258,79.6304,3078.98,Shrubland,1
20015,4/27/2016,20:00,2.2,1903.52,63.118,0.296793,0.289015,0.134217,89.8109,3088.59,Shrubland,1
20015,4/28/2016,0:01,5.2,1954.77,65.1021,1.87324,1.4873,0.143927,310.077,3270.83,Shrubland,1
20015,4/29/2016,16:01,6.8,1907.22,62.1447,1.76445,1.64468,0.188152,80.1311,3002.47,Shrubland,1
20015,5/8/2016,16:01,3.4,1824.98,86.0227,1.80062,1.59918,0.209832,28,3018.35,Shrubland,1
20015,4/12/2016,16:00,3.8,1979.19,109.108,0.883747,1.99322,0.170923,128.736,2796.78,Shrubland,1
20015,4/16/2016,8:00,2.2,1920.72,73.6227,1.96489,0.737356,0.127709,109.275,2901.27,Shrubland,1
20015,4/16/2016,12:00,5.4,1906.04,96.4366,1.95213,1.3057,0.157312,88.0909,2911.37,Shrubland,1
20015,4/16/2016,16:01,3.2,1901.07,86.849,1.99684,1.07943,0.159788,73.8241,2931.53,Shrubland,1
20015,4/17/2016,0:00,6.4,1879.04,168.53,1.68034,1.73289,0.243329,18.3576,2847.21,Shrubland,1
20015,4/17/2016,4:00,5.4,1931.26,56.7867,0.579589,1.90733,0.162231,91.2195,2887.43,Shrubland,1
20015,4/18/2016,8:00,1.6,2038.62,38.7309,0.0857382,1.40512,0.209666,146.492,2797.04,Shrubland,1
20015,4/20/2016,0:00,5.8,1880.92,67.6258,1.98746,1.15788,0.15961,48.2597,2978.14,Shrubland,1
20015,4/20/2016,20:00,2.2,1891.08,80.8526,0.0711223,0.629613,0.157294,56.0892,2996.54,Shrubland,1
20015,4/21/2016,0:00,5,1918.06,92.5148,0.235257,1.64434,0.111108,74.9533,3029.35,Shrubland,1
20015,5/3/2016,16:01,5.4,1919.74,92.4002,0.230757,0.361044,0.137186,137.179,2859.95,Shrubland,1
20015,5/6/2016,20:01,3,1923.64,113.779,0.372922,1.77896,0.196163,68.884,2902.1,Open Tree Canopy,1
20015,4/7/2016,0:00,6.2,1943.94,56.0264,0.00151104,0.945047,0.110555,389.278,2472.67,Shrubland,1
20015,4/7/2016,4:00,2,1929.49,59.3104,0.335727,0.25251,0.113407,363.497,2470.15,Shrubland,1
20015,4/7/2016,8:01,2.4,1916.82,83.8823,0.00079,0.960259,0.110672,412.485,2504.21,Open Tree Canopy,1
20015,4/7/2016,12:00,2.2,1922.55,85.6961,0.641864,0.0663305,0.118428,412.769,2501.62,Open Tree Canopy,1
20015,4/7/2016,16:00,2.2,1869.14,72.8551,1.99928,0.96214,0.0930666,448.038,2557.47,Open Tree Canopy,1
20015,4/17/2016,8:00,2.2,2040.73,80.3877,0.00822687,0.871992,0.190184,165.052,2731.43,Herbaceous-Shrub Steppe,1
20015,4/17/2016,12:00,2,2023.81,96.3445,8.39E-05,1.01295,0.186704,147.597,2747.16,Open Tree Canopy,1
20015,4/17/2016,16:00,4,2023.81,96.3445,8.39E-05,1.01295,0.186704,150.586,2739.47,Open Tree Canopy,1
20015,4/17/2016,20:02,8.4,1918.9,31.0806,1.94115,0.662005,0.253953,11.3137,2709.19,Shrubland,1
20015,4/18/2016,4:03,13.4,2014.27,180.489,1.48056,0.12304,0.222224,75.6637,2677.3,Shrubland,1
20015,5/2/2016,4:00,2.8,1956.91,67.5868,0.317716,0.268913,0.110434,81.7068,2849.45,Shrubland,1
20015,5/3/2016,0:00,3.4,1994.03,75.24,1.18216,0.0167316,0.0846726,216.123,3040.59,Shrubland,1
20015,5/3/2016,4:00,2.8,1970.16,59.7415,1.96874,1.24808,0.174424,72.2496,2809.45,Shrubland,1
20015,5/3/2016,20:00,3.4,1916.64,79.7526,1.99976,0.97814,0.154443,151.644,2827.76,Sparsely Vegetated,1
20015,5/7/2016,4:00,2.4,2029.61,112.2,1.75104,1.66025,0.165739,138.293,2719.07,Shrubland,1
20015,5/7/2016,8:00,1.8,2029.61,112.2,1.75104,1.66025,0.165739,136.62,2722.66,Shrubland,1
20015,5/7/2016,12:00,4,2029.48,150.678,0.349112,1.75917,0.167821,150.333,2722.19,Shrubland,1
20015,5/7/2016,16:00,1.8,2019.83,152.465,1.99757,0.930315,0.167766,140.929,2722.65,Shrubland,1
20015,5/8/2016,4:00,3.6,1979.33,117.203,1.7493,1.66223,0.155144,67.1193,2758.52,Shrubland,1
20015,5/8/2016,12:01,4.2,1993.71,97.5,1.91896,1.39436,0.160796,79.8812,2764.42,Shrubland,1
20015,4/8/2016,4:00,1.6,2033.58,59.9646,1.99222,1.12447,0.17342,338.245,2383.48,Sparsely Vegetated,1
20015,4/8/2016,8:00,2.8,2041.54,103.977,1.98258,1.18584,0.184359,344.471,2370.56,Open Tree Canopy,1
20015,4/8/2016,12:00,3.2,2023.29,61.3437,1.89798,1.44003,0.152037,341.974,2377.73,Sparsely Vegetated,1
20015,4/8/2016,16:00,4.4,2005.69,82.4255,1.85535,1.51805,0.114128,326.588,2383.41,Sparsely Vegetated,1
20015,4/8/2016,20:00,3,1963.37,59.7369,1.45053,0.107238,0.0856685,312.866,2399.8,Shrubland,1
20015,4/9/2016,0:00,2,2006.93,172.267,1.79109,1.6117,0.187163,266.43,2406.3,Open Tree Canopy,1
20015,4/9/2016,4:01,3.8,2076.99,172.092,1.99988,1.01539,0.235278,332.34,2318.76,Open Tree Canopy,1
20015,4/9/2016,8:00,2.4,2072.61,164.91,1.96385,0.733548,0.231837,332.826,2331.74,Open Tree Canopy,1
20015,4/9/2016,12:00,3.8,2072.61,164.91,1.96385,0.733548,0.231837,336.174,2331.94,Open Tree Canopy,1
20015,4/10/2016,4:00,2.4,2044.39,44.6726,0.22652,0.36618,0.209728,315.886,2364.7,Open Tree Canopy,1
20015,4/10/2016,8:01,2.4,2040.06,31.5364,0.753335,1.9691,0.200365,314.391,2373.84,Open Tree Canopy,1
20015,4/10/2016,12:00,2.4,2044.39,44.6726,0.22652,0.36618,0.209728,313.081,2370.69,Open Tree Canopy,1
20015,4/11/2016,16:01,4,1988.93,87.2191,0.707357,0.0437783,0.122498,134.618,2376.55,Shrubland,1
20015,4/12/2016,20:00,2.2,2110.14,68.1954,0.0543854,1.32529,0.185685,177.003,2613.25,Open Tree Canopy,1
20015,4/13/2016,0:01,2.8,2090.95,110.973,0.00937039,0.863424,0.241892,81,2443.85,Open Tree Canopy,1
20015,4/13/2016,4:01,2.8,2079.63,114.642,0.558614,0.102683,0.140387,183.6,2376.36,Shrubland,1
20015,4/13/2016,12:00,4,2086.17,38.7632,0.00735003,1.12102,0.138517,205.38,2393.14,Shrubland,1
20015,4/14/2016,4:03,13.4,1925.01,81.1517,1.99853,0.945785,0.222977,166.877,2392.5,Shrubland,1
20015,4/14/2016,8:00,2.6,1922.91,109.806,1.76851,1.63984,0.231184,177.485,2378.48,Shrubland,1
20015,4/14/2016,12:00,5,1922.91,109.806,1.76851,1.63984,0.231184,176.777,2380.46,Shrubland,1
20015,4/15/2016,4:00,2.8,1991.19,71.4742,0.33382,0.254209,0.148657,145.664,2408.31,Shrubland,1
20015,4/15/2016,8:00,4.2,1962.73,44.4486,0.288939,1.70313,0.139487,186.132,2463.42,Shrubland,1
20015,4/15/2016,12:00,8.4,1962.73,44.4486,0.288939,1.70313,0.139487,184.391,2461.26,Shrubland,1
20015,4/15/2016,16:00,5.8,2005.68,68.6231,0.59573,0.0853603,0.134322,150.416,2382.88,Herbaceous-Shrub Steppe,1
20015,5/2/2016,8:00,2.6,1956.91,67.5868,0.317716,0.268913,0.110434,87.8465,2848.67,Shrubland,1
20015,5/2/2016,12:00,3.2,1956.91,67.5868,0.317716,0.268913,0.110434,84.1724,2846.57,Shrubland,1
20015,5/2/2016,16:00,2.6,1988.43,49.9789,1.47026,1.88253,0.0538422,149.372,2845.55,Shrubland,1
20015,5/2/2016,20:00,3.4,2006.52,92.5812,1.02586,1.99967,0.0776977,245.465,2929.53,Open Tree Canopy,1
20015,5/3/2016,8:00,3.4,1973.83,150.269,1.73695,1.67595,0.154294,63.0079,2752.37,Shrubland,1
20015,5/3/2016,12:00,7.6,1973.83,150.269,1.73695,1.67595,0.154294,61.0328,2751.09,Shrubland,1
20015,5/6/2016,4:01,7.2,2083.42,137.926,1.9559,1.29368,0.153371,131.015,2629.62,Shrubland,1
20015,5/6/2016,12:02,6.4,1997.9,115.891,1.89874,0.561512,0.170045,45,2617.51,Shrubland,1
20015,5/7/2016,20:03,5.8,1920.01,52.3173,1.412,0.0888142,0.165027,44.2832,2786.87,Open Tree Canopy,1
20015,5/8/2016,0:00,3.4,1978.98,70.5282,1.62777,1.7784,0.0569154,133.701,2821.91,Shrubland,1
20015,5/8/2016,8:00,3.2,1979.33,117.203,1.7493,1.66223,0.155144,66.4003,2754.05,Shrubland,1
20015,4/10/2016,16:01,4,2059.79,21.2581,0.49601,0.136291,0.223622,327.794,2297.13,Shrubland,1
20015,4/10/2016,20:02,5.2,1942.61,59.707,1.81618,1.5778,0.105394,59.8164,2303.02,Shrubland,1
20015,4/11/2016,0:02,3.4,1942.3,220.233,0.317916,1.73127,0.215036,53.0377,2242.47,Shrubland,1
20015,4/11/2016,4:00,5.4,1916.72,185.003,0.023542,0.784292,0.209108,30.6105,2298.01,Shrubland,1
20015,4/11/2016,8:01,2.2,1884.88,60.3281,0.949654,0.00126821,0.249594,4.24264,2296.45,Shrubland,1
20015,4/11/2016,12:02,7.2,1930.57,210.043,0.240452,0.349549,0.203045,45.2217,2289.35,Shrubland,1
20015,4/13/2016,20:00,2.4,1977.41,102.376,1.33263,0.056944,0.202442,105.309,2271.19,Open Tree Canopy,1
